Match Id,Home Team,Away Team,Home Goal HT,Away Goal HT,Home Goal FT,Away Goal FT
497530,Brentford,Leicester City,,,,
497533,Crystal Palace,Newcastle,,,,
497536,Nottingham,Ipswich Town,,,,
497539,Wolverhampton,Bournemouth,,,,
497538,West Ham,Arsenal,,,,
497532,Chelsea,Aston Villa,,,,
497535,Man United,Everton,,,,
497537,Tottenham,Fulham,,,,
497534,Liverpool,Man City,,,,
497540,Bournemouth,Tottenham,,,,
497541,Arsenal,Man United,,,,
497542,Aston Villa,Brentford,,,,
497543,Everton,Wolverhampton,,,,
497544,Fulham,Brighton Hove,,,,
497545,Ipswich Town,Crystal Palace,,,,
497546,Leicester City,West Ham,,,,
497547,Man City,Nottingham,,,,
497548,Newcastle,Liverpool,,,,
497549,Southampton,Chelsea,,,,
497550,Aston Villa,Southampton,,,,
497551,Brentford,Newcastle,,,,
497552,Crystal Palace,Man City,,,,
497553,Everton,Liverpool,,,,
497554,Fulham,Arsenal,,,,
497555,Ipswich Town,Bournemouth,,,,
497556,Leicester City,Brighton Hove,,,,
497557,Man United,Nottingham,,,,
497558,Tottenham,Chelsea,,,,
497559,West Ham,Wolverhampton,,,,
497560,Bournemouth,West Ham,,,,
497561,Arsenal,Everton,,,,
497562,Brighton Hove,Crystal Palace,,,,
497563,Chelsea,Brentford,,,,
497564,Liverpool,Fulham,,,,
497565,Man City,Man United,,,,
497566,Newcastle,Leicester City,,,,
497567,Nottingham,Aston Villa,,,,
497568,Southampton,Tottenham,,,,
497569,Wolverhampton,Ipswich Town,,,,
497570,Aston Villa,Man City,,,,
497571,Brentford,Nottingham,,,,
497572,Crystal Palace,Arsenal,,,,
497573,Everton,Chelsea,,,,
497574,Fulham,Southampton,,,,
497575,Ipswich Town,Newcastle,,,,
497576,Leicester City,Wolverhampton,,,,
497577,Man United,Bournemouth,,,,
497578,Tottenham,Liverpool,,,,
497579,West Ham,Brighton Hove,,,,
497580,Bournemouth,Crystal Palace,,,,
497581,Arsenal,Ipswich Town,,,,
497582,Brighton Hove,Brentford,,,,
497583,Chelsea,Fulham,,,,
497584,Liverpool,Leicester City,,,,
497585,Man City,Everton,,,,
497586,Newcastle,Aston Villa,,,,
497587,Nottingham,Tottenham,,,,
497588,Southampton,West Ham,,,,
497589,Wolverhampton,Man United,,,,
497590,Aston Villa,Brighton Hove,,,,
497591,Brentford,Arsenal,,,,
497592,Crystal Palace,Southampton,,,,
497593,Everton,Nottingham,,,,
497594,Fulham,Bournemouth,,,,
497595,Ipswich Town,Chelsea,,,,
497596,Leicester City,Man City,,,,
497597,Man United,Newcastle,,,,
497598,Tottenham,Wolverhampton,,,,
497599,West Ham,Liverpool,,,,
497600,Brighton Hove,Arsenal,,,,
497601,Southampton,Brentford,,,,
497602,Crystal Palace,Chelsea,,,,
497603,Bournemouth,Everton,,,,
497604,Fulham,Ipswich Town,,,,
497605,Aston Villa,Leicester City,,,,
497606,Liverpool,Man United,,,,
497607,Tottenham,Newcastle,,,,
497608,Wolverhampton,Nottingham,,,,
497609,Man City,West Ham,,,,
497610,Everton,Aston Villa,,,,
497611,Ipswich Town,Brighton Hove,,,,
497612,Leicester City,Crystal Palace,,,,
497613,West Ham,Fulham,,,,
497614,Nottingham,Liverpool,,,,
497615,Brentford,Man City,,,,
497616,Arsenal,Tottenham,,,,
497617,Chelsea,Bournemouth,,,,
497618,Man United,Southampton,,,,
497619,Newcastle,Wolverhampton,,,,
497620,Newcastle,Bournemouth,,,,
497621,Arsenal,Aston Villa,,,,
497622,Man United,Brighton Hove,,,,
497623,West Ham,Crystal Palace,,,,
497624,Leicester City,Fulham,,,,
497625,Brentford,Liverpool,,,,
497626,Ipswich Town,Man City,,,,
497627,Nottingham,Southampton,,,,
497628,Everton,Tottenham,,,,
497629,Chelsea,Wolverhampton,,,,
497630,Fulham,Man United,,,,
497631,Liverpool,Ipswich Town,,,,
497632,Wolverhampton,Arsenal,,,,
497633,Brighton Hove,Everton,,,,
497634,Southampton,Newcastle,,,,
497635,Bournemouth,Nottingham,,,,
497636,Aston Villa,West Ham,,,,
497637,Crystal Palace,Brentford,,,,
497638,Man City,Chelsea,,,,
497639,Tottenham,Leicester City,,,,
497640,Wolverhampton,Aston Villa,,,,
497641,Nottingham,Brighton Hove,,,,
497642,Man United,Crystal Palace,,,,
497643,Newcastle,Fulham,,,,
497644,Everton,Leicester City,,,,
497645,Bournemouth,Liverpool,,,,
497646,Arsenal,Man City,,,,
497647,Ipswich Town,Southampton,,,,
497648,Brentford,Tottenham,,,,
497649,Chelsea,West Ham,,,,
497650,Southampton,Bournemouth,,,,
497651,Leicester City,Arsenal,,,,
497652,West Ham,Brentford,,,,
497653,Brighton Hove,Chelsea,,,,
497654,Crystal Palace,Everton,,,,
497655,Aston Villa,Ipswich Town,,,,
497656,Tottenham,Man United,,,,
497657,Man City,Newcastle,,,,
497658,Fulham,Nottingham,,,,
497659,Liverpool,Wolverhampton,,,,
497664,Man City,Liverpool,,,,
497665,Everton,Man United,,,,
497666,Ipswich Town,Tottenham,,,,
497667,Fulham,Crystal Palace,,,,
497668,Arsenal,West Ham,,,,
497669,Bournemouth,Wolverhampton,,,,
497660,Leicester City,Brentford,,,,
497661,Southampton,Brighton Hove,,,,
497662,Aston Villa,Chelsea,,,,
